Price,TransferDate,PostCode,PropType,Age,Duration
935000,43861,SW18 1XY,Flat,NewBuild,Leasehold
430000,43833,SE14 6FE,Flat,NewBuild,Leasehold
800000,43858,SW11 8BE,Flat,PreOwned,Leasehold
815000,43854,SW11 8BE,Flat,PreOwned,Leasehold
560000,43840,CR0 8QX,Semi-Detached,PreOwned,Freehold
332000,43861,SE13 5RS,Flat,PreOwned,Leasehold
600000,43854,SW11 7AA,Flat,PreOwned,Leasehold
400000,43840,SE1 1AU,Flat,NewBuild,Leasehold
386000,43861,E6 1QY,Terraced,PreOwned,Freehold
217000,43860,SW2 2AD,Flat,PreOwned,Leasehold
420000,43833,SE13 7FX,Flat,NewBuild,Leasehold
480000,43854,IG11 0WZ,Terraced,NewBuild,Leasehold
925000,43861,SW18 1UA,Flat,NewBuild,Leasehold
400000,43861,SE14 6FE,Flat,NewBuild,Leasehold
420000,43861,SE14 6FE,Flat,NewBuild,Leasehold
585000,43861,SE10 0YN,Flat,NewBuild,Leasehold
480500,43857,IG11 0WZ,Terraced,NewBuild,Leasehold
540000,43854,SE14 6FE,Flat,NewBuild,Leasehold
499995,43857,IG11 0WZ,Terraced,NewBuild,Leasehold
438000,43859,SE1 1AU,Flat,NewBuild,Leasehold
600000,43854,SE10 0YN,Flat,NewBuild,Leasehold
998775,43860,SW8 1BN,Flat,NewBuild,Leasehold
520000,43861,SW8 1BG,Flat,NewBuild,Leasehold
600000,43854,SE10 0YN,Flat,NewBuild,Leasehold
500000,43847,SW11 3GS,Flat,NewBuild,Leasehold
290000,43854,SW16 3HL,Flat,PreOwned,Leasehold
616125,43860,SW8 1BN,Flat,NewBuild,Leasehold
369000,43847,E16 2XJ,Flat,NewBuild,Leasehold
725000,43833,SW17 7ET,Flat,NewBuild,Leasehold
715000,43861,SE10 0YN,Flat,NewBuild,Leasehold
504995,43861,IG11 0WZ,Terraced,NewBuild,Leasehold
509995,43843,IG11 0WW,Terraced,NewBuild,Leasehold
485000,43861,IG11 0WZ,Terraced,NewBuild,Leasehold
1000000,43845,SW8 4EU,Flat,NewBuild,Leasehold
600000,43833,SE10 0YL,Flat,NewBuild,Leasehold
415000,43853,SW4 9PU,Flat,NewBuild,Leasehold
525000,43833,SW16 6SY,Semi-Detached,PreOwned,Leasehold
676000,43847,SE9 2AY,Semi-Detached,NewBuild,Freehold
405650,43853,SE5 0AY,Flat,NewBuild,Leasehold
600000,43861,SE10 0YL,Flat,NewBuild,Leasehold
576000,43833,SW18 1XY,Flat,NewBuild,Leasehold
544000,43852,E16 2SU,Flat,NewBuild,Leasehold
350000,43840,BR1 3LG,Terraced,PreOwned,Freehold
730000,43838,SW18 1QS,Other,NewBuild,Leasehold
341000,43847,E6 1QZ,Terraced,PreOwned,Freehold
407500,43851,E16 3QJ,Terraced,PreOwned,Freehold
565000,43861,SW8 1BG,Flat,NewBuild,Leasehold
784819,43836,HA3 7EA,Terraced,PreOwned,Freehold
355000,43859,SE16 3RQ,Terraced,PreOwned,Freehold
251000,43861,BR1 3SL,Flat,PreOwned,Leasehold
660000,43861,,Other,NewBuild,Freehold
678000,43840,NW9 7ES,Other,NewBuild,Leasehold
380700,43861,N8 0EJ,Flat,NewBuild,Leasehold
378900,43861,N8 0EJ,Flat,NewBuild,Leasehold
460000,43861,W5 2HT,Flat,NewBuild,Leasehold
318000,43854,TW8 9GW,Flat,PreOwned,Leasehold
680400,43850,TW7 6RJ,Other,NewBuild,Leasehold
360000,43833,E5 0NP,Other,PreOwned,Leasehold
966720,43833,EC2A 2FE,Flat,NewBuild,Leasehold
350000,43851,NW5 1HN,Flat,PreOwned,Leasehold
548565,43861,NW6 5FU,Flat,NewBuild,Leasehold
996400,43859,WC2A 2AT,Flat,NewBuild,Leasehold
425000,43846,E3 2SS,Flat,PreOwned,Leasehold
740000,43861,W10 5PS,Other,PreOwned,Leasehold
950000,43840,IG8 0XA,Other,PreOwned,Leasehold
325000,43861,DA8 2JW,Terraced,PreOwned,Freehold
620000,43840,W7 3RB,Terraced,PreOwned,Freehold
260000,43844,CR2 0NT,Flat,PreOwned,Leasehold
210000,43840,CR0 4WL,Flat,PreOwned,Leasehold
125000,43852,CR0 2DR,Flat,PreOwned,Leasehold
220000,43847,SE20 7TT,Flat,PreOwned,Leasehold
420000,43836,HA3 7EA,Terraced,PreOwned,Freehold
380000,43839,E17 4HB,Terraced,PreOwned,Freehold
600000,43847,DA15 8NH,Semi-Detached,PreOwned,Freehold
465000,43861,DA8 2FN,Terraced,NewBuild,Freehold
472500,43857,CR0 7EZ,Terraced,PreOwned,Freehold
435000,43860,CR0 1FX,Flat,NewBuild,Leasehold
480000,43854,CR0 3FL,Flat,NewBuild,Leasehold
648000,43861,KT2 5FW,Flat,NewBuild,Leasehold
