Price,TransferDate,PostCode,PropType,Age,Duration,City,District,County
899950,37505,NW3 1RX,Flat,Pre-Owned,Leasehold,LONDON,CAMDEN,GREATER LONDON
330000,37475,W3 6DR,Detached,Pre-Owned,Freehold,LONDON,EALING,GREATER LONDON
230000,37270,SW6 2RX,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
178000,37596,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
180000,37396,SE27 9AW,Detached,Pre-Owned,Freehold,LONDON,LAMBETH,GREATER LONDON
130000,37293,SW15 1HJ,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
299950,37575,SW11 3AB,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
85000,37329,N15 6UL,Flat,NewBuild,Leasehold,LONDON,HARINGEY,GREATER LONDON
280000,37476,W4 2HD,Flat,Pre-Owned,Leasehold,LONDON,HOUNSLOW,GREATER LONDON
160000,37474,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
157000,37386,CR0 9LQ,Terraced,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
347000,37468,NW5 2JD,Flat,Pre-Owned,Leasehold,LONDON,CAMDEN,GREATER LONDON
8000,39276,EN4 8HQ,Other,Pre-Owned,Freehold,BARNET,BARNET,GREATER LONDON
350000,39435,E1 1NE,Flat,Pre-Owned,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
233000,39094,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
375000,39002,SW5 9LA,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
375000,38796,SE4 2AB,Terraced,Pre-Owned,Freehold,LONDON,LEWISHAM,GREATER LONDON
344000,39020,SW11 3AB,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
108000,38789,N15 6UL,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
235000,38814,SW9 0LL,Flat,Pre-Owned,Leasehold,LONDON,LAMBETH,GREATER LONDON
250000,39031,EC2A 4QS,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
360000,38828,RM14 1XW,Detached,Pre-Owned,Freehold,UPMINSTER,HAVERING,GREATER LONDON
210000,39072,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
230000,38828,TW8 0PF,Flat,Pre-Owned,Leasehold,BRENTFORD,HOUNSLOW,GREATER LONDON
103600,38763,CR7 7BB,Flat,Pre-Owned,Leasehold,THORNTON HEATH,CROYDON,GREATER LONDON
233500,39028,CR0 9LQ,Semi-Detached,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
155000,38775,N17 6XX,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
489500,38979,EN2 6SY,Flat,NewBuild,Leasehold,ENFIELD,ENFIELD,GREATER LONDON
224950,38975,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
187500,38996,BR3 5NP,Flat,Pre-Owned,Leasehold,BECKENHAM,BROMLEY,GREATER LONDON
210000,36455,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
85000,36376,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
190000,36231,TW9 1LX,Detached,Pre-Owned,Freehold,RICHMOND,RICHMOND UPON THAMES,GREATER LONDON
86000,36371,TW8 0PF,Flat,Pre-Owned,Leasehold,BRENTFORD,HOUNSLOW,GREATER LONDON
250000,38329,W11 4RS,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
183000,38142,SM3 9LS,Terraced,Pre-Owned,Freehold,SUTTON,SUTTON,GREATER LONDON
695000,38125,SW10 9AH,Flat,Pre-Owned,Freehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
100000,38037,CR7 7BB,Flat,Pre-Owned,Leasehold,THORNTON HEATH,CROYDON,GREATER LONDON
195000,38145,RM7 8HH,Terraced,Pre-Owned,Freehold,ROMFORD,HAVERING,GREATER LONDON
150000,38184,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
330000,38121,E14 5SH,Flat,Pre-Owned,Leasehold,LONDON,TOWER HAMLETS,GREATER LONDON
225000,38125,EC2A 4QS,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
166000,38219,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
330000,38100,SW5 9UD,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
87500,38085,DA16 1AR,Flat,Pre-Owned,Leasehold,WELLING,BEXLEY,GREATER LONDON
150000,38442,KT3 3TD,Flat,Pre-Owned,Leasehold,NEW MALDEN,KINGSTON UPON THAMES,GREATER LONDON
295000,38530,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
343790,38663,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
190000,38636,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
165000,38611,N4 1DE,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
655000,38504,EC1V 1JB,Flat,Pre-Owned,Freehold,LONDON,HACKNEY,GREATER LONDON
300000,38656,SW6 2TZ,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
172000,38532,E17 7AL,Flat,NewBuild,Leasehold,LONDON,WALTHAM FOREST,GREATER LONDON
400000,38642,W1W 7LS,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
204000,38453,SW18 3AG,Flat,Pre-Owned,Leasehold,LONDON,WANDSWORTH,GREATER LONDON
499950,39115,SW6 2GZ,Flat,NewBuild,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
390000,39241,SE4 2DD,Terraced,Pre-Owned,Freehold,LONDON,LEWISHAM,GREATER LONDON
244950,39227,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
315150,39381,EC2A 4QS,Flat,Pre-Owned,Leasehold,LONDON,HACKNEY,GREATER LONDON
299950,37855,SW5 9PF,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
145000,37845,SW7 5QX,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
195000,37634,DA7 4SS,Terraced,Pre-Owned,Freehold,BEXLEYHEATH,BEXLEY,GREATER LONDON
230000,37750,SW6 2RX,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
170000,37663,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
357500,37627,CR3 0DH,Detached,Pre-Owned,Freehold,WHYTELEAFE,CROYDON,GREATER LONDON
235000,37721,NW8 7NG,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
1460000,37977,W2 3QG,Terraced,Pre-Owned,Freehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
195000,37683,CR0 9LQ,Semi-Detached,Pre-Owned,Freehold,CROYDON,CROYDON,GREATER LONDON
197000,37932,W14 8HU,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
250000,36909,N7 6JP,Terraced,Pre-Owned,Freehold,LONDON,ISLINGTON,GREATER LONDON
350000,36909,SW5 0PL,Flat,Pre-Owned,Leasehold,LONDON,KENSINGTON AND CHELSEA,GREATER LONDON
250000,36980,W14 0NS,Flat,Pre-Owned,Leasehold,LONDON,HAMMERSMITH AND FULHAM,GREATER LONDON
119950,37155,N8 7PG,Flat,Pre-Owned,Leasehold,LONDON,HARINGEY,GREATER LONDON
167500,37006,NW8 7NG,Flat,Pre-Owned,Leasehold,LONDON,CITY OF WESTMINSTER,GREATER LONDON
505000,42864,CR5 1EY,Semi-Detached,Pre-Owned,Freehold,COULSDON,CROYDON,GREATER LONDON
628000,43090,SE7 8FF,Semi-Detached,Pre-Owned,Freehold,LONDON,GREENWICH,GREATER LONDON
430000,42894,TW7 6EL,Flat,Pre-Owned,Leasehold,ISLEWORTH,HOUNSLOW,GREATER LONDON
270000,42894,TW7 6EL,Flat,Pre-Owned,Leasehold,ISLEWORTH,HOUNSLOW,GREATER LONDON
